state, visited
Alabama, 82.9325585638337
Alaska, 96.0820684993718
Arizona, 83.9665215247606
Arkansas, 81.8375282874968
California, 60.4421737659313
Colorado, 73.0175967719679
Connecticut, 77.8322192119505
Delaware, 74.0663956667206
District of Columbia, 86.768219956387
Florida, 68.816422591138
Georgia, 70.9235290049508
Hawaii, 65.1909906980513
Idaho, 70.4820308160344
Illinois, 57.0246132894576
Indiana, 73.2836273765066
Iowa, 59.8919742087083
Kansas, 81.2769626609055
Kentucky, 79.5768029706217
Louisiana, 67.6126761011515
Maine, 76.2667426101177
Maryland, 75.7911652581354
Massachusetts, 73.0036106053406
Michigan, 76.3776398612509
Minnesota, 75.1690390941728
Mississippi, 80.6470079195339
Missouri, 75.7301690776957
Montana, 77.9340550051528
Nebraska, 67.9469058739204
Nevada, 59.5196340128171
New Hampshire, 78.482439856445
New Jersey, 69.0894274266198
New Mexico, 73.18175027168
New York, 62.3490017792424
North Carolina, 74.6626023368862
North Dakota, 72.4239496501144
Ohio, 68.6648996879396
Oklahoma, 99.9856711805931
Oregon, 81.0830675752806
Pennsylvania, 84.2214081119569
Rhode Island, 75.8153266102478
South Carolina, 83.7422530056426
South Dakota, 71.8515386230267
Tennessee, 81.6932925212831
Texas, 51.9697844891919
Utah, 62.9867812911459
Vermont, 74.5693325108067
Virginia, 70.7796222994251
Washington, 75.6155922995047
West Virginia, 83.7098888531042
Wisconsin, 69.8799989248445
Wyoming, 80.6968502730099
