state,visited
Alabama, 96.6641494760606
Alaska, 65.8132374690028
Arizona, 73.9551280195784
Arkansas, 89.4202212752488
California, 63.8298035311741
Colorado, 60.1127141034173
Connecticut, 75.1243889183405
Delaware, 74.4869514528645
District of Columbia, 72.9975363441666
Florida, 88.4210214514885
Georgia, 82.2293520813157
Hawaii, 53.182652559487
Idaho, 52.5147970828213
Illinois, 80.9620720618269
Indiana, 81.3213667043304
Iowa, 56.6692435818965
Kansas, 86.8613863893473
Kentucky, 84.4550992295708
Louisiana, 96.5340216900381
Maine, 44.7602883775817
Maryland, 59.6104470222328
Massachusetts, 49.0015055281433
Michigan, 91.4714077971503
Minnesota, 48.2333947880246
Mississippi, 96.3736378319378
Missouri, 85.5425909810772
Montana, 40.6404674175387
Nebraska, 68.1092252164607
Nevada, 81.3322127819705
New Hampshire, 50.2893442464788
New Jersey, 78.0746411092716
New Mexico, 63.2232953157327
New York, 64.8837789134021
North Carolina, 73.5564908597216
North Dakota, 56.7493143812297
Ohio, 68.1937405921614
Oklahoma, 87.9989038153833
Oregon, 59.8576660138093
Pennsylvania, 73.2117545127865
Rhode Island, 63.125828451349
South Carolina, 88.3135975028298
South Dakota, 49.6615288473096
Tennessee, 92.7022571939869
Texas, 77.8080173274973
Utah, 54.3099795589815
Vermont, 38.2857365898574
Virginia, 61.0446373089694
Washington, 53.8233598623149
West Virginia, 104.872118279027
Wisconsin, 50.3366159612214
Wyoming, 48.5662705323478
