state,visited
Alabama, 83.1965596421959
Alaska, 54.2538920042986
Arizona, 65.9710432890055
Arkansas, 78.5906052816718
California, 52.2318466629066
Colorado, 63.9734865449067
Connecticut, 73.0695240149674
Delaware, 62.447793197644
District of Columbia, 52.4719971081738
Florida, 64.2962646951619
Georgia, 72.994206869861
Hawaii, 33.6361460047077
Idaho, 67.3574913422861
Illinois, 62.4886760065406
Indiana, 63.5114943913983
Iowa, 57.3055631045102
Kansas, 57.404394206521
Kentucky, 98.3484899232297
Louisiana, 96.2674730358498
Maine, 62.4914379328731
Maryland, 60.6042056839565
Massachusetts, 65.5070563270644
Michigan, 83.6765895424429
Minnesota, 62.4098856397507
Mississippi, 92.0081361381014
Missouri, 73.385407982097
Montana, 69.1934012553139
Nebraska, 73.2780740907882
Nevada, 54.4230792430078
New Hampshire, 67.9478983662032
New Jersey, 62.7149607768703
New Mexico, 52.1476359970771
New York, 56.5393997238947
North Carolina, 63.1627751907746
North Dakota, 52.3878326912108
Ohio, 71.871831271048
Oklahoma, 77.2194861968892
Oregon, 53.2866162204899
Pennsylvania, 79.1946292045126
Rhode Island, 70.0767998734822
South Carolina, 66.1348308593038
South Dakota, 60.6987130876034
Tennessee, 88.5171025354966
Texas, 57.1977270679461
Utah, 67.8114610682702
Vermont, 55.0923251231485
Virginia, 56.7505591568674
Washington, 55.1885993537088
West Virginia, 100.764946523812
Wisconsin, 55.9396419455595
Wyoming, 63.0365251657902
