state,visited
Alabama,  65.9093637905362
Alaska, 73.8489271385345
Arizona, 61.5517564472298
Arkansas, 59.7738711215021
California, 52.7041291668499
Colorado, 62.3295897667498
Connecticut, 75.6242965291629
Delaware, 59.9524008495288
District of Columbia, 58.2766827246138
Florida, 55.7119101657403
Georgia, 57.7735127670924
Hawaii, 43.1069092005601
Idaho, 62.6283769059626
Illinois, 54.9844631545816
Indiana, 64.4176496700245
Iowa, 60.5497265498838
Kansas, 79.6829237605258
Kentucky, 71.5851880308034
Louisiana, 85.177721152146
Maine, 97.3244804834226
Maryland, 71.9619038587517
Massachusetts, 63.6665639761098
Michigan, 62.0757007823312
Minnesota, 63.4515716283273
Mississippi, 61.6992475892378
Missouri, 69.4667426137668
Montana, 90.1224849661044
Nebraska, 51.3271856117571
Nevada, 47.3652976642783
New Hampshire, 104.764369600334
New Jersey, 67.1675664233757
New Mexico, 51.1543536556704
New York, 58.4548032263161
North Carolina, 67.5628512752806
North Dakota, 44.0496902783178
Ohio, 64.9779021753751
Oklahoma, 85.0536793124809
Oregon, 72.1231137626817
Pennsylvania, 78.4855480188811
Rhode Island, 77.1265943806426
South Carolina, 58.6505127497591
South Dakota, 54.8353825014301
Tennessee, 65.3584038730233
Texas, 49.2873486996146
Utah, 56.4234439143671
Vermont, 54.1975279358798
Virginia, 57.2111739621602
Washington, 54.2105600211295
West Virginia, 51.2207095399945
Wisconsin, 70.6150475266172
Wyoming, 87.6705767744484
