state,visited
Alabama, 88.7132720906996
Alaska, 73.3791895341811
Arizona, 67.1720535893515
Arkansas, 90.7317367392588
California, 64.1121591215187
Colorado, 65.2785647525044
Connecticut, 67.3423314960558
Delaware, 73.4158492876043
District of Columbia, 41.3335206901098
Florida, 85.2884994857059
Georgia, 72.372427628728
Hawaii, 46.0184735271025
Idaho, 50.8824074811594
Illinois, 79.9499017014501
Indiana, 81.9498563207469
Iowa, 64.6855443395013
Kansas, 69.7818613193469
Kentucky, 87.3590417603488
Louisiana, 102.704304397038
Maine, 48.3307891579701
Maryland, 60.2973961349338
Massachusetts, 49.102989631123
Michigan, 84.4163520953714
Minnesota, 47.2959817388933
Mississippi, 98.6004201879161
Missouri, 88.4457505511299
Montana, 46.1152104709543
Nebraska, 71.9167611963417
Nevada, 88.1556310667634
New Hampshire, 53.1267292377329
New Jersey, 80.0381895052481
New Mexico, 65.5665396226037
New York, 68.5450792827293
North Carolina, 78.5353878692962
North Dakota, 53.2810294957686
Ohio, 65.631166277053
Oklahoma, 100.493862419336
Oregon, 64.9595531625406
Pennsylvania, 74.4560082993063
Rhode Island, 56.1486342311031
South Carolina, 75.4621202919491
South Dakota, 43.0368995598222
Tennessee, 91.3803918250825
Texas, 76.0020236774068
Utah, 61.2263667891993
Vermont, 39.190938499848
Virginia, 59.9003402630276
Washington, 57.6414821568896
West Virginia, 94.6118315757204
Wisconsin, 49.1220917095877
Wyoming, 50.8776763633845
